,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,0,1,2,1,0,0,0.7000000000000001,13.0,0,1,1
0,2,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,1,3,0,0,1,0.6000000000000001,6.000000000000001,2,0.5,2
0,2,1,3,1,0,0,0.6000000000000001,12.000000000000002,0,1,2
0,1,1,3,0,1,0,1.2,11.999999999999998,0,0,2
0,3,1,3,0,0,0,0.6000000000000001,6.000000000000001,0,0,2
0,3,1,4,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,0,1,4,0,0,1,0.5000000000000001,5.000000000000001,0,0,3
0,2,1,4,0,1,0,1.1,11.0,1,1,3
0,1,1,4,0,1,0,1.0999999999999999,10.999999999999998,0,0,3
0,1,1,5,1,1,0,0.9999999999999999,15.999999999999998,0,1,3
0,3,1,5,0,0,0,0.40000000000000013,4.000000000000001,0,0,3
0,0,1,5,0,0,1,0.40000000000000013,4.000000000000001,0,0,4
0,2,1,5,0,1,0,1.0,10.0,0,0,3
0,3,1,6,0,0,0,0.30000000000000016,3.0000000000000013,0,0,4
0,2,1,6,0,1,0,0.9,9.0,0,0,3
0,1,1,6,0,2,0,1.4999999999999998,14.999999999999996,1,1,4
0,0,1,6,0,0,1,0.30000000000000016,3.0000000000000013,0,0,5
0,0,1,7,1,0,1,0.20000000000000015,8.000000000000002,0,1,6
0,3,1,7,0,0,0,0.20000000000000015,2.0000000000000013,0,0,5
0,1,1,7,0,2,0,1.3999999999999997,13.999999999999996,0,0,5
0,2,1,7,0,1,0,0.8,8.0,0,0,4
0,0,1,8,0,1,1,0.7000000000000002,7.000000000000002,1,1,7
0,3,1,8,0,0,0,0.10000000000000014,1.0000000000000013,0,0,6
0,2,1,8,0,1,0,0.7000000000000001,7.0,4,-0.2,5
0,1,1,8,0,2,0,1.2999999999999996,12.999999999999995,0,0,5
0,2,1,9,0,1,0,0.6000000000000001,6.000000000000001,0,0,5
0,3,1,9,0,0,0,1.3877787807814457e-16,1.3877787807814457e-15,1,-0.2,7
0,1,1,9,0,2,0,1.1999999999999995,11.999999999999995,4,-0.2,6
0,0,1,9,0,1,1,0.6000000000000002,6.000000000000002,0,0,8
0,3,1,10,1,0,0,0,5.000000000000001,0,0,7
0,2,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,2,1,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,2,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,0,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,3,2,2,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,1,2,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,1
0,2,2,3,1,0,0,0.5000000000000001,11.0,0,1,1
0,3,2,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,0,2,3,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,3,2,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,3
0,1,2,4,1,0,0,0.40000000000000013,10.0,0,1,2
0,2,2,4,0,1,0,1.0,10.0,1,1,2
0,0,2,4,0,0,0,0.40000000000000013,4.000000000000001,0,0,3
0,1,2,5,0,1,0,0.9,9.0,1,1,3
0,0,2,5,1,0,0,0.30000000000000016,9.0,0,1,4
0,3,2,5,0,0,0,0.30000000000000016,3.0000000000000013,0,0,4
0,2,2,5,0,1,0,0.9,9.0,0,0,2
0,0,2,6,0,1,0,0.8000000000000002,8.000000000000002,1,1,5
0,3,2,6,0,0,0,0.20000000000000015,2.0000000000000013,0,0,5
0,1,2,6,0,1,0,0.8,8.0,4,-0.2,4
0,2,2,6,0,1,0,0.8,8.0,0,0,2
0,3,2,7,1,0,0,0.10000000000000014,7.000000000000002,0,1,5
0,1,2,7,0,1,0,0.7000000000000001,7.0,0,0,4
0,2,2,7,1,1,0,0.7000000000000001,13.0,0,1,2
0,0,2,7,0,1,0,0.7000000000000002,7.000000000000002,0,0,6
0,3,2,8,0,1,0,0.6000000000000002,6.000000000000002,1,1,6
0,2,2,8,0,2,0,1.2,11.999999999999998,1,1,3
0,0,2,8,0,1,0,0.6000000000000002,6.000000000000002,0,0,6
0,1,2,8,0,1,0,0.6000000000000001,6.000000000000001,0,0,5
0,1,2,9,0,1,0,0.5000000000000001,5.000000000000001,0,0,6
0,0,2,9,0,1,0,0.5000000000000002,5.000000000000002,2,-0.2,7
0,3,2,9,0,1,0,0.5000000000000002,5.000000000000002,0,0,7
